sim,method,psi1_mean,psi1_var,psi2_mean,psi2_var
1,bfal,0.8522813165079305,2.5474332322050113e-4,-0.44724926741461246,0.0011005984414955076
1,gfal,0.916548594808597,1.243841531303297e-4,-0.4751378496092434,2.598582877936539e-4
1,qfal,0.9193715041453527,2.193547314570945e-4,-0.5383601518206237,8.656508645586476e-4
1,super,0.9638550976195067,1.1741557472234552e-4,-0.5433305130601694,2.1585208830937196e-4
1,true,0.9165812689266966,1.2478507154189755e-4,-0.5390179901963621,2.5252281545832785e-4
2,bfal,0.8931529120638293,2.4594237498356495e-4,-0.3866523310627136,0.0010602150244224478
2,gfal,0.9455248429210503,1.259979850527903e-4,-0.4193115242815734,2.5289260917535643e-4
2,qfal,0.9474146178920062,2.1920856984911126e-4,-0.4697056498211326,8.542284994732744e-4
2,super,0.9855487628741065,1.1922061075861081e-4,-0.5033848028498168,2.1666787328994367e-4
2,true,0.945567702219973,1.26470153440119e-4,-0.47874202233319846,2.482473640190522e-4
3,bfal,0.8436483896861965,2.517557756362085e-4,-0.4139454561426192,0.0010888579697550258
3,gfal,0.9075090410877146,1.2634606213935434e-4,-0.45840123753666756,2.712768483047935e-4
3,qfal,0.9074429698071552,2.2093927637019064e-4,-0.5144175422486532,8.712645667148183e-4
3,super,0.9329111055643318,1.1982800492016618e-4,-0.5271357915463891,2.3092383417308633e-4
3,true,0.9072711459428532,1.269061441215978e-4,-0.5228287076166087,2.653746538232866e-4
4,bfal,0.8724320415950468,2.550704397030005e-4,-0.3925394054952612,0.001101808846177511
4,gfal,0.9418685887264053,1.2697228525629863e-4,-0.4084881058230662,2.5867180605807725e-4
4,qfal,0.9418934220377643,2.2060592939023867e-4,-0.47749755002181826,8.806720854200396e-4
4,super,1.009178511379629,1.205694818715048e-4,-0.5333195267758107,2.2421650666086266e-4
4,true,0.9419562830072442,1.2766831244591322e-4,-0.47473416429142395,2.540163639187201e-4
5,bfal,0.8809282558909951,2.551674282903234e-4,-0.4123812296922529,0.0011069918920971092
